MM/DD/YYYY,ID,YEAR,MONTH,DAY,TOBS,TOBS_FLAGS,SNWD,SNWD_FLAGS,MDPR,MDPR_FLAGS,WT01,WT01_FLAGS,TMIN,TMIN_FLAGS,DAPR,DAPR_FLAGS,SNOW,SNOW_FLAGS,PRCP,PRCP_FLAGS,TMAX,TMAX_FLAGS,WT03,WT03_FLAGS
1959-03-27,USC00047767,1959,03,27,111.0,__0,0.0,__0,nan,nan,nan,nan,44.0,__0,nan,nan,0.0,__0,0.0,__0,133.0,__0,nan,nan
1959-03-28,USC00047767,1959,03,28,133.0,__0,0.0,__0,nan,nan,nan,nan,94.0,__0,nan,nan,0.0,__0,8.0,__0,156.0,__0,nan,nan
1959-03-29,USC00047767,1959,03,29,122.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,139.0,__0,nan,nan
1959-03-30,USC00047767,1959,03,30,133.0,__0,0.0,__0,nan,nan,nan,nan,100.0,__0,nan,nan,0.0,__0,51.0,__0,156.0,__0,nan,nan
1959-04-01,USC00047767,1959,04,1,167.0,__0,0.0,__0,nan,nan,nan,nan,61.0,__0,nan,nan,0.0,__0,0.0,__0,244.0,__0,nan,nan
1959-04-02,USC00047767,1959,04,2,178.0,__0,0.0,__0,nan,nan,nan,nan,106.0,__0,nan,nan,0.0,__0,0.0,__0,289.0,__0,nan,nan
1959-04-03,USC00047767,1959,04,3,156.0,__0,0.0,__0,nan,nan,nan,nan,106.0,__0,nan,nan,0.0,__0,0.0,__0,272.0,__0,nan,nan
1959-04-04,USC00047767,1959,04,4,156.0,__0,0.0,__0,nan,nan,nan,nan,100.0,__0,nan,nan,0.0,__0,0.0,__0,267.0,__0,nan,nan
1959-04-05,USC00047767,1959,04,5,133.0,__0,0.0,__0,nan,nan,nan,nan,111.0,__0,nan,nan,0.0,__0,0.0,__0,200.0,__0,nan,nan
1959-04-06,USC00047767,1959,04,6,144.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,200.0,__0,nan,nan
1959-04-07,USC00047767,1959,04,7,139.0,__0,0.0,__0,nan,nan,nan,nan,133.0,__0,nan,nan,0.0,__0,0.0,__0,167.0,__0,nan,nan
1959-04-08,USC00047767,1959,04,8,150.0,__0,0.0,__0,nan,nan,nan,nan,106.0,__0,nan,nan,0.0,__0,0.0,__0,161.0,__0,nan,nan
1959-04-09,USC00047767,1959,04,9,139.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,150.0,__0,nan,nan
1959-04-10,USC00047767,1959,04,10,144.0,__0,0.0,__0,nan,nan,nan,nan,100.0,__0,nan,nan,0.0,__0,0.0,__0,167.0,__0,nan,nan
1959-04-11,USC00047767,1959,04,11,144.0,__0,0.0,__0,nan,nan,nan,nan,106.0,__0,nan,nan,0.0,__0,0.0,__0,161.0,__0,nan,nan
1959-04-12,USC00047767,1959,04,12,150.0,__0,0.0,__0,nan,nan,nan,nan,100.0,__0,nan,nan,0.0,__0,0.0,__0,189.0,__0,nan,nan
1959-04-13,USC00047767,1959,04,13,122.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,161.0,__0,nan,nan
1959-04-14,USC00047767,1959,04,14,133.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1959-04-15,USC00047767,1959,04,15,133.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,156.0,__0,nan,nan
1959-04-16,USC00047767,1959,04,16,122.0,__0,0.0,__0,nan,nan,nan,nan,83.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1959-04-17,USC00047767,1959,04,17,128.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,156.0,__0,nan,nan
1959-04-18,USC00047767,1959,04,18,139.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,150.0,__0,nan,nan
1959-04-19,USC00047767,1959,04,19,128.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,156.0,__0,nan,nan
1959-04-20,USC00047767,1959,04,20,106.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,128.0,__0,nan,nan
1959-04-21,USC00047767,1959,04,21,133.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1959-04-22,USC00047767,1959,04,22,133.0,__0,0.0,__0,nan,nan,nan,nan,94.0,__0,nan,nan,0.0,__0,0.0,__0,150.0,__0,nan,nan
1959-04-23,USC00047767,1959,04,23,156.0,__0,0.0,__0,nan,nan,nan,nan,83.0,__0,nan,nan,0.0,__0,0.0,__0,272.0,__0,nan,nan
1959-04-24,USC00047767,1959,04,24,144.0,__0,0.0,__0,nan,nan,nan,nan,111.0,__0,nan,nan,0.0,__0,0.0,__0,167.0,__0,nan,nan
1959-04-25,USC00047767,1959,04,25,111.0,__0,0.0,__0,nan,nan,nan,nan,111.0,__0,nan,nan,0.0,__0,127.0,__0,172.0,__0,nan,nan
1959-04-26,USC00047767,1959,04,26,144.0,__0,0.0,__0,nan,nan,nan,nan,106.0,__0,nan,nan,0.0,__0,61.0,__0,156.0,__0,nan,nan
1959-04-27,USC00047767,1959,04,27,150.0,__0,0.0,__0,nan,nan,nan,nan,106.0,__0,nan,nan,0.0,__0,0.0,__0,156.0,__0,nan,nan
1959-04-28,USC00047767,1959,04,28,144.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,178.0,__0,nan,nan
